Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
3-D Man,good,50,31,43,32,25,52,233
A-Bomb,good,38,100,17,80,17,64,316
Abe Sapien,good,88,14,35,42,35,85,299
Abin Sur,good,50,90,53,64,84,65,406
Abomination,bad,63,80,53,90,55,95,436
Abraxas,bad,88,100,83,99,100,56,526
Adam Monroe,good,63,10,12,100,71,64,320
Adam Strange,good,1,1,1,1,0,1,5
Agent  13,good,1,1,1,1,0,1,5
Agent Bob,good,10,8,13,5,5,20,61
Agent Zero,good,75,28,38,80,72,95,388
Air-Walker,bad,50,85,100,85,100,40,460
Alan Scott,good,63,80,23,90,98,32,386
Alex Woolsly,good,1,1,1,1,0,1,5
Alfred Pennyworth,good,63,10,17,10,7,55,162
Allan Quatermain,good,1,1,1,1,0,1,5
Amazo,bad,75,100,100,100,100,100,575
Ammo,bad,1,1,1,1,0,1,5
Ando Masahashi,good,1,1,1,1,0,1,5
Angel,good,63,13,46,64,17,42,245
Angel Salvadore,good,38,10,28,28,46,60,210
Angela,bad,1,1,1,1,0,1,5
Animal Man,good,56,48,47,85,73,80,389
Annihilus,bad,75,80,47,56,59,64,381
Ant-Man,good,100,10,23,28,32,32,225
Ant-Man II,good,63,10,23,28,32,28,184
Anti-Monitor,bad,88,90,38,90,100,90,496
Anti-Spawn,bad,1,1,1,1,0,1,5
Anti-Venom,,75,60,65,90,85,84,459
Apocalypse,bad,100,100,33,100,100,60,493
Aquababy,good,10,16,12,14,37,14,103
Aqualad,good,63,44,42,75,76,60,360
Aquaman,good,63,80,50,80,65,80,418
Arachne,good,1,1,1,1,0,1,5
Archangel,good,63,13,58,64,28,42,268
Arclight,bad,38,63,23,42,52,70,288
Ares,good,75,82,35,80,62,101,435
Ariel,good,50,10,12,14,72,28,186
Armor,good,50,63,12,80,55,54,314
Arsenal,good,1,1,1,1,0,1,5
Astro Boy,good,1,1,1,1,0,1,5
Atlas,good,50,80,23,99,69,42,363
Atom,good,1,1,1,1,0,1,5
Atom Girl,good,38,10,23,28,38,42,179
Atom I,good,1,1,1,1,0,1,5
Atom II,good,1,1,1,1,0,1,5
Atom III,good,1,1,1,1,0,1,5
Atom IV,good,1,1,1,1,0,1,5
Aurora,good,50,15,83,56,69,56,329
Azazel,bad,50,11,47,95,87,80,370
Azrael,good,63,18,17,20,35,80,233
Aztar,good,1,1,1,1,0,1,5
Bane,bad,88,53,23,56,51,95,366
Banshee,good,50,10,58,42,60,70,290
Bantam,good,25,53,23,54,21,56,232
Batgirl I,good,1,1,1,1,0,1,5
Batgirl II,good,1,1,1,1,0,1,5
Batgirl III,good,1,1,1,1,0,1,5
Batgirl IV,good,69,12,27,56,42,100,306
Batgirl V,good,1,1,1,1,0,1,5
Batgirl VI,good,75,10,23,28,22,80,238
Batman,good,100,18,27,42,37,100,324
Batman II,good,88,11,33,28,36,100,296
Battlestar,good,50,53,35,74,48,74,334
Beak,good,1,1,1,1,0,1,5
Beast,good,88,48,35,56,35,84,346
Beast Boy,good,50,28,50,70,79,40,317
Beetle,bad,1,1,1,1,0,1,5
Ben 10,good,10,7,8,10,90,40,165
Beta Ray Bill,good,63,80,35,95,100,84,457
Beyonder,good,88,100,23,100,100,56,467
Big Barda,good,63,90,23,85,42,72,375
Big Daddy,good,38,10,12,32,22,64,178
Big Man,bad,75,12,23,28,19,70,227
Bill Harken,good,63,36,33,60,23,40,255
Billy Kincaid,bad,1,1,1,1,0,1,5
